번역 번호,Ehn어 문장 (일반문 어순 적용),한국어 문장 (50자 이상 구성)
30,Dyn yshyx ytt yttaf yttynt et.,이전에 논리적인 가설의 개념을 대중들에게 처음으로 정식 제시했던 나
31,Syd ysnynyx ysh yshaf ehnosynt et.,그래서 특유의 논리적인 규칙을 조용히 혼자서 깊게 고민했던 나
32,Pyd yshyx yymes yymesaf əktys et.,그냥 정확한 기술의 방법을 일상생활에서 유용하게 직접 사용하는 나
33,Tyd uthehn_yx ehn ehnaf ehnys et.,또한 자비로운 정신의 태도를 모든 사람에게 따뜻하게 느끼게 하는 나
34,Yd ash_yx ash ashaf ashys et.,매우 숫자의 계산을 수학적인 방식으로 정확하게 예측하고 계산하는 나
35,Cyd saym_yx saym saymaf ymyktys et.,심지어 약점의 근원을 찾아서 새로운 변화를 위해 다시 시작하는 나
36,Lyd yfsech efsahn efsaf somysynt et.,아마도 배고픈 요리의 음식을 배고픈 다른 사람에게 거절하며 준 나
37,Kyd esyhn_yx esyhn esyhnaf uthynt et.,아주 화려한 풍경의 경치를 높은 산 위에서 가만히 바라보았던 나
38,Fynd uthehn_yx uthehn uthehnaf ehnys et.,오직 자비롭고 이로운 정신의 태도를 세상 모든 이에게 베푸는 나
39,Nyd əhn_yx əhn əhnaf əhnynt et.,이후에 정복한 영토의 땅을 지배자로서 강력하게 통치하고 관리했던 나
40,Dyn ushn_yx ushn ushnaf ushnynt et.,이전에 생존의 생활을 숲속에서 처절하고 끈질기게 이어가며 살았던 나
41,Syd syhən_yx syhən syhənaf syhənys et.,그래서 허상의 상상을 머릿속으로 끊임없이 자유롭게 매일 상상하는 나
42,Pyd yshyx ysh yshaf ehnosys et.,그냥 똑똑한 논리의 규칙을 사용하여 문제를 현명하게 해결하고 고민하는 나
43,Tyd yshyx ytt yttaf yttys et.,또한 정확한 이론의 개념을 학회에서 많은 사람에게 공식 제안하는 나
44,Yd yshyx ysh yshaf ehnosynt et.,매우 논리적인 규칙을 바탕으로 과거의 잘못을 깊이 반성하며 고민했던 나
45,Cyd yshyx ysh yshaf ehnosys et.,심지어 이상한 비논리의 규칙을 하나하나 세밀하게 분석하며 고민하는 나
46,Lyd ashn_yx ashn ashnys et.,아마도 중력의 힘으로 모든 물체를 아래로 강하게 끌어당기고 있는 나
47,Kyd yshyx ysh yshaf ehnosynt et.,아주 똑똑한 논리의 규칙을 발견하고 그것을 일기에 상세히 기록했던 나
48,Fynd ashn_yx ashn ashnys et.,오직 중력의 법칙을 연구하여 세상의 중심을 향해 모든 것을 당기는 나
49,Nyd ashn_yx ashn ashnys et.,이후에 중력의 작용을 이해하고 높은 곳에서 낮은 곳으로 하강하는 나
50,Dyn ashn_yx ashn ashnys et.,이전에 중력의 힘을 거슬러 하늘로 올라가고 싶어 하는 꿈을 꾸었던 나
51,Syd yshyx əpn əpnaf əpnys et.,그래서 논리적인 학문을 학교에서 교수님과 함께 열심히 연구하는 나
52,Pyd yshyx ysh yshaf ehnosys et.,그냥 정확한 규칙을 통해 사회의 질서를 유지하려고 끊임없이 고민하는 나
53,Tyd yshyx ysh yshaf ehnosys et.,또한 똑똑한 논리를 사용하여 복잡한 기계의 원리를 완벽히 이해하는 나
54,Yd yshyx ysh yshaf ehnosys et.,매우 정확한 규칙을 따라 여행의 계획을 시간 단위로 꼼꼼하게 짜는 나
55,Cyd yshyx ysh yshaf ehnosys et.,심지어 비논리적인 상황 속에서도 이성을 유지하며 논리를 찾는 고민하는 나
56,Lyd yshyx ysh yshaf ehnosys et.,아마도 논리적인 규칙이 세상을 바꿀 것이라 확신하며 매일 고민하는 나
57,Kyd yshyx ysh yshaf ehnosys et.,아주 정확한 논리를 바탕으로 친구의 고민을 명쾌하게 해결해주려 고민하는 나
58,Fynd yshyx ysh yshaf ehnosys et.,오직 논리적인 규칙만을 신봉하며 감정을 배제하고 차갑게 행동하며 고민하는 나
59,Nyd yshyx ysh yshaf ehnosys et.,이후에 논리적인 규칙을 깨닫고 삶의 방향을 완전히 새롭게 정하며 고민하는 나
60,Dyn yshyx ysh yshaf ehnosys et.,이전에 논리적인 규칙을 몰랐던 시절을 후회하며 밤새도록 혼자 고민했던 나
61,Syd yshyx əpn əpnaf əpnys et.,그래서 논리적인 학문을 도서관에서 혼자 깊이 있게 탐구하며 배우는 나
62,Pyd yshyx ysh yshaf ehnosys et.,그냥 정확한 규칙에 따라 운동을 매일 거르지 않고 규칙적으로 수행하며 고민하는 나
63,Tyd yshyx ysh yshaf ehnosys et.,또한 똑똑한 논리를 발휘하여 게임의 승리 전략을 완벽하게 세우며 고민하는 나
64,Yd yshyx ysh yshaf ehnosys et.,매우 정확한 규칙을 선호하여 방 안의 물건들을 각 맞춰 정리하며 고민하는 나
65,Cyd yshyx ysh yshaf ehnosys et.,심지어 이상한 소문들 속에서 논리적인 근거를 찾아 진실을 가려내려 고민하는 나
66,Lyd yshyx ysh yshaf ehnosys et.,아마도 논리적인 규칙을 적용하면 이 세상에 풀지 못할 문제는 없다며 고민하는 나
67,Kyd yshyx ysh yshaf ehnosys et.,아주 정확한 논리를 사용하여 역사적 사건의 인과관계를 철저히 분석하며 고민하는 나
68,Fynd yshyx ysh yshaf ehnosys et.,오직 논리적인 규칙이 인간을 자유롭게 하리라 믿으며 철학적으로 고민하는 나
69,Nyd yshyx ysh yshaf ehnosys et.,이후에 논리적인 규칙의 한계를 깨닫고 직관과 이성의 조화를 위해 고민하는 나
70,Dyn yshyx ysh yshaf ehnosys et.,이전에 논리적인 규칙만 따지다가 소중한 사람의 마음을 아프게 해서 고민했던 나
71,Syd yshyx əpn əpnaf əpnys et.,그래서 논리적인 학문을 통해 우주의 신비를 조금씩 밝혀내며 연구하는 나
72,Pyd yshyx ysh yshaf ehnosys et.,그냥 정확한 규칙을 준수하여 도로 위에서 안전하게 운전하며 교통법규를 고민하는 나
73,Tyd yshyx ysh yshaf ehnosys et.,또한 똑똑한 논리로 복잡한 코드를 짜서 효율적인 프로그램을 만들며 고민하는 나
74,Yd yshyx ysh yshaf ehnosys et.,매우 정확한 규칙을 바탕으로 실험 데이터를 하나하나 대조하며 신중히 고민하는 나
75,Cyd yshyx ysh yshaf ehnosys et.,심지어 비논리적인 공포 영화를 보면서도 연출의 의도를 논리적으로 분석하며 고민하는 나
76,Lyd yshyx ysh yshaf ehnosys et.,아마도 논리적인 규칙이 무너진 세상에서 새로운 질서를 세우기 위해 고민하는 나
77,Kyd yshyx ysh yshaf ehnosys et.,아주 정확한 논리를 가지고 토론회에 참석하여 상대방의 허점을 찌르며 고민하는 나
78,Fynd yshyx ysh yshaf ehnosys et.,오직 논리적인 규칙이 아름다움의 본질이라고 생각하며 예술 작품을 보며 고민하는 나
79,Nyd yshyx ysh yshaf ehnosys et.,이후에 논리적인 규칙을 넘어선 영적인 세계에 대해 깊은 호기심을 갖고 고민하는 나
80,Dyn yshyx ysh yshaf ehnosys et.,이전에 논리적인 규칙만을 강요했던 자신의 고집스러운 태도를 반성하며 고민했던 나
81,Syd yshyx əpn əpnaf əpnys et.,그래서 논리적인 학문의 즐거움을 깨닫고 평생 공부하며 살기로 결심하며 배우는 나
82,Pyd yshyx ysh yshaf ehnosys et.,그냥 정확한 규칙에 맞춰서 요리 레시피의 계량을 1그램도 틀리지 않게 고민하는 나
83,Tyd yshyx ysh yshaf ehnosys et.,또한 똑똑한 논리를 사용하여 경제 지표를 분석하고 미래의 시장을 예측하며 고민하는 나
84,Yd yshyx ysh yshaf ehnosys et.,매우 정확한 규칙을 사랑하여 모든 일과를 분 단위로 나누어 철저히 관리하며 고민하는 나
85,Cyd yshyx ysh yshaf ehnosys et.,심지어 꿈속에서도 논리적인 문제를 풀기 위해 머리를 싸매고 치열하게 고민하는 나
86,Lyd yshyx ysh yshaf ehnosys et.,아마도 논리적인 규칙이 없다면 세상은 혼돈에 빠질 것이라 걱정하며 매일 고민하는 나
87,Kyd yshyx ysh yshaf ehnosys et.,아주 정확한 논리를 전파하여 사람들의 잘못된 상식을 바로잡아주기 위해 노력하며 고민하는 나
88,Fynd yshyx ysh yshaf ehnosys et.,오직 논리적인 규칙만이 진리에 이르는 유일한 길이라고 믿으며 수행하듯 고민하는 나
89,Nyd yshyx ysh yshaf ehnosys et.,이후에 논리적인 규칙의 아름다움을 수학 공식을 통해 발견하고 감동하며 고민하는 나
90,Dyn yshyx ysh yshaf ehnosys et.,이전에 논리적인 규칙을 무시했다가 큰 손해를 보았던 경험을 떠올리며 씁쓸히 고민했던 나
91,Syd yshyx əpn əpnaf əpnys et.,그래서 논리적인 학문을 배우기 위해 먼 나라로 유학을 떠날 준비를 하며 연구하는 나
92,Pyd yshyx ysh yshaf ehnosys et.,그냥 정확한 규칙대로 바둑을 두며 상대의 수를 논리적으로 읽어내기 위해 고민하는 나
93,Tyd yshyx ysh yshaf ehnosys et.,또한 똑똑한 논리를 발휘해 엉킨 실타래 같은 복잡한 인간관계를 풀기 위해 고민하는 나
94,Yd yshyx ysh yshaf ehnosys et.,매우 정확한 규칙을 추구하여 완벽한 문장을 쓰기 위해 단어 하나하나 고르며 고민하는 나
95,Cyd yshyx ysh yshaf ehnosys et.,심지어 어린아이의 순수한 질문 속에서도 논리적인 모순을 찾아내어 설명해주려 고민하는 나
96,Lyd yshyx ysh yshaf ehnosys et.,아마도 논리적인 규칙이 우리를 더 나은 미래로 인도할 것이라 믿으며 희망차게 고민하는 나
97,Kyd yshyx ysh yshaf ehnosys et.,아주 정확한 논리를 바탕으로 신약 개발의 임상 시험 결과를 꼼꼼히 검토하며 고민하는 나
98,Fynd yshyx ysh yshaf ehnosys et.,오직 논리적인 규칙을 지키는 것만이 사회 구성원의 의무라고 생각하며 준법정신을 고민하는 나
99,Nyd yshyx ysh yshaf ehnosys et.,이후에 논리적인 규칙이 주는 평온함 속에서 삶의 진정한 의미를 찾기 위해 조용히 고민하는 나
100,Dyn yshyx ysh yshaf ehnosys et.,이전에 논리적인 규칙을 찾지 못해 방황했던 시절의 나를 위로하며 따뜻하게 과거를 고민했던 나
